Round,Track,Qualifying,Stint,Lap,"Rear Wing","Front Wing",Engine,Brake,Differential,Suspension,Fuel,"Tyre Remaining","Tyre Choice","Lap Time","Lap Distance",Cornering,Inclines,Camber,Grip,Altitude,Roughness,Width,Temperature,Humidity,"Wind (Avg. Speed)","Wind (Gusts)","Air Density","Air Pressure"
1,Spain,0,12,17,240,51,301,229,301,218,9.2542304125401,12.826347925969,"Extra Soft",74.198337164901,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,12,18,240,51,301,229,301,218,6.8574204368072,7.698486039261,"Extra Soft",75.069599918957,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,12,19,240,51,301,229,301,218,4.4606104610742,2.5706241525533,"Extra Soft",73.794862673013,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,1,240,51,301,229,301,218,47.603190024267,96.836311418851,Soft,76.3581331,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,2,240,51,301,229,301,218,45.206380048534,93.672622837702,Soft,76.662395854056,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,3,240,51,301,229,301,218,42.809570072801,90.508934256553,Soft,76.494658608113,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,4,240,51,301,229,301,218,40.412760097068,87.345245675404,Soft,77.396921362169,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,5,240,51,301,229,301,218,38.015950121335,84.181557094255,Soft,77.620184116225,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,6,240,51,301,229,301,218,35.619140145602,81.017868513106,Soft,77.146446870282,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,7,240,51,301,229,301,218,33.222330169869,77.854179931957,Soft,77.209709624338,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,8,240,51,301,229,301,218,30.825520194137,74.690491350808,Soft,76.524972378394,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,9,240,51,301,229,301,218,28.428710218404,71.526802769659,Soft,75.47723513245,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,10,240,51,301,229,301,218,26.031900242671,68.363114188511,Soft,76.143497886507,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,11,240,51,301,229,301,218,23.635090266938,65.199425607362,Soft,76.674760640563,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,12,240,51,301,229,301,218,21.238280291205,62.035737026213,Soft,75.326023394619,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,13,240,51,301,229,301,218,18.841470315472,58.872048445064,Soft,75.709286148676,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,14,240,51,301,229,301,218,16.444660339739,55.708359863915,Soft,74.826548902732,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,15,240,51,301,229,301,218,14.047850364006,52.544671282766,Soft,74.277811656788,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,16,240,51,301,229,301,218,11.651040388273,49.380982701617,Soft,75.820074410844,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,17,240,51,301,229,301,218,9.2542304125401,46.217294120468,Soft,75.228337164901,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,18,240,51,301,229,301,218,6.8574204368072,43.053605539319,Soft,74.368599918957,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,19,240,51,301,229,301,218,4.4606104610742,39.88991695817,Soft,74.385862673013,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,13,20,240,51,301,229,301,218,2.0638004853413,36.726228377021,Soft,74.12412542707,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,14,1,119,73,153,216,271,131,47.603190024267,94.872138113292,"Extra Soft",77.0156747,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,14,2,119,73,153,216,271,131,45.206380048534,89.744276226585,"Extra Soft",75.513937454056,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,14,3,119,73,153,216,271,131,42.809570072801,84.616414339877,"Extra Soft",75.205200208113,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,14,4,119,73,153,216,271,131,40.412760097068,79.488552453169,"Extra Soft",75.630462962169,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,14,5,119,73,153,216,271,131,38.015950121335,74.360690566461,"Extra Soft",76.445725716225,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
1,Spain,0,14,6,119,73,153,216,271,131,35.619140145602,69.232828679754,"Extra Soft",74.655988470281,3.8,40,71,0,74,59,78,76,17,60,60,22,94,98
2,Germany,1,0,1,16,86,82,90,134,102,10,100,"Extra Soft",72.855037767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,1,1,476,267,12,12,83,273,2.6684172024424,95.805383944246,"Extra Soft",74.441247767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,2,1,476,267,12,12,83,273,116.66841720244,95.805383944246,"Extra Soft",82.053359767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,3,1,476,267,12,12,83,273,47.668417202442,95.805383944246,"Extra Soft",78.310107767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,4,1,398,390,92,298,223,50,47.668417202442,95.805383944246,"Extra Soft",80.606606767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,5,1,248,87,16,86,140,179,47.668417202442,95.805383944246,"Extra Soft",74.487407767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,6,1,125,151,68,15,153,292,47.668417202442,95.805383944246,"Extra Soft",74.981303167,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,7,1,125,151,68,15,153,292,47.668417202442,97.727045975639,Hard,76.491914167,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,8,1,318,137,14,76,206,128,47.668417202442,95.805383944246,"Extra Soft",75.700006767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,9,1,272,142,5,93,84,110,47.668417202442,95.805383944246,"Extra Soft",76.607134567,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,10,1,318,190,18,5,98,128,47.668417202442,95.805383944246,"Extra Soft",75.627034567,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,11,1,122,314,89,32,147,271,47.668417202442,95.805383944246,"Extra Soft",76.128203167,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,12,1,248,87,16,86,140,179,47.668417202442,95.805383944246,"Extra Soft",74.769407767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,13,1,317,116,434,133,77,340,47.668417202442,95.805383944246,"Extra Soft",78.554307767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,14,1,317,116,434,133,77,340,47.668417202442,95.805383944246,"Extra Soft",79.852307767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,15,1,456,115,1,1,1,362,47.668417202442,95.805383944246,"Extra Soft",76.658583733,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,16,1,395,410,313,1,135,363,47.668417202442,95.805383944246,"Extra Soft",79.983107767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,17,1,304,279,74,57,21,223,47.668417202442,95.805383944246,"Extra Soft",78.230407767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,18,1,16,86,82,90,134,102,47.668417202442,95.805383944246,"Extra Soft",75.834657767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,19,1,16,86,82,90,134,102,47.668417202442,95.805383944246,"Extra Soft",75.123657767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,20,1,16,86,82,90,134,102,47.668417202442,95.805383944246,"Extra Soft",75.277657767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,21,1,16,86,82,90,134,102,47.668417202442,95.805383944246,"Extra Soft",74.596657767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,1,16,86,82,90,134,102,47.668417202442,95.805383944246,"Extra Soft",75.198657767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,2,16,86,82,90,134,102,45.336834404885,91.610767888492,"Extra Soft",74.540049923252,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,3,16,86,82,90,134,102,43.005251607327,87.416151832738,"Extra Soft",75.148442079504,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,4,16,86,82,90,134,102,40.67366880977,83.221535776984,"Extra Soft",74.195834235757,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,5,16,86,82,90,134,102,38.342086012212,79.02691972123,"Extra Soft",75.634226392009,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,6,16,86,82,90,134,102,36.010503214654,74.832303665476,"Extra Soft",73.800618548261,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,7,16,86,82,90,134,102,33.678920417097,70.637687609722,"Extra Soft",73.835010704513,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,8,16,86,82,90,134,102,31.347337619539,66.443071553968,"Extra Soft",74.404402860766,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,22,9,16,86,82,90,134,102,29.015754821981,62.248455498214,"Extra Soft",74.993795017018,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,23,1,16,397,399,179,29,184,47.668417202442,95.805383944246,"Extra Soft",79.802930967,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,23,2,16,397,399,179,29,184,45.336834404885,91.610767888492,"Extra Soft",79.395323123252,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,1,16,86,82,90,134,102,42.668417202442,95.805383944246,"Extra Soft",74.425117767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,2,16,86,82,90,134,102,40.336834404885,91.610767888492,"Extra Soft",74.190509923252,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,3,16,86,82,90,134,102,38.005251607327,87.416151832738,"Extra Soft",75.063902079504,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,4,16,86,82,90,134,102,35.67366880977,83.221535776984,"Extra Soft",75.159294235757,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,5,16,86,82,90,134,102,33.342086012212,79.02691972123,"Extra Soft",74.533686392009,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,6,16,86,82,90,134,102,31.010503214654,74.832303665476,"Extra Soft",74.991078548261,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,7,16,86,82,90,134,102,28.678920417097,70.637687609722,"Extra Soft",74.676470704513,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,8,16,86,82,90,134,102,26.347337619539,66.443071553968,"Extra Soft",73.682862860766,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,9,16,86,82,90,134,102,24.015754821981,62.248455498214,"Extra Soft",73.842255017018,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,10,16,86,82,90,134,102,21.684172024424,58.05383944246,"Extra Soft",73.79664717327,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,11,16,86,82,90,134,102,19.352589226866,53.859223386707,"Extra Soft",73.632039329522,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,12,16,86,82,90,134,102,17.021006429309,49.664607330953,"Extra Soft",73.060431485774,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,13,16,86,82,90,134,102,14.689423631751,45.469991275199,"Extra Soft",72.662823642027,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,14,16,86,82,90,134,102,12.357840834193,41.275375219445,"Extra Soft",73.286215798279,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,15,16,86,82,90,134,102,10.026258036636,37.080759163691,"Extra Soft",72.414607954531,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,16,16,86,82,90,134,102,7.6946752390782,32.886143107937,"Extra Soft",72.775000110783,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,17,16,86,82,90,134,102,5.3630924415206,28.691527052183,"Extra Soft",72.271392267036,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,24,18,16,86,82,90,134,102,3.031509643963,24.496910996429,"Extra Soft",72.107784423288,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,25,1,240,51,301,229,301,218,42.668417202442,95.805383944246,"Extra Soft",77.388626267,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,25,2,240,51,301,229,301,218,40.336834404885,91.610767888492,"Extra Soft",77.555018423252,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,1,16,86,82,90,134,102,47.668417202442,97.186963024554,Soft,76.650657767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,2,16,86,82,90,134,102,45.336834404885,94.373926049107,Soft,75.418049923252,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,3,16,86,82,90,134,102,43.005251607327,91.560889073661,Soft,75.997442079504,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,4,16,86,82,90,134,102,40.67366880977,88.747852098215,Soft,75.041834235757,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,5,16,86,82,90,134,102,38.342086012212,85.934815122768,Soft,75.362226392009,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,6,16,86,82,90,134,102,36.010503214654,83.121778147322,Soft,75.542618548261,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,7,16,86,82,90,134,102,33.678920417097,80.308741171876,Soft,75.700010704513,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,26,8,16,86,82,90,134,102,31.347337619539,77.495704196429,Soft,74.702402860766,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,27,1,16,86,82,90,134,102,53.668417202442,95.805383944246,"Extra Soft",76.612505767,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
2,Germany,0,27,2,16,86,82,90,134,102,51.336834404885,91.610767888492,"Extra Soft",74.710897923252,3.8,33,53,97,96,67,14,25,12,62,22,5,68,55
